"Project Key (Existing Key, or type a brand new one to create a new project)",Project Name,Client Name,PM Name,Status,Deadline
1-stern-close-spike-lights,1 Stern Close,Alfa One Estates (PTY) Ltd,,On track,08/04/2026
10-sugarbird-lane-exterior-replacements,10 Sugarbird Lane,Private Client,,On track,04/03/2026
119a-kloof-nek-road-replacements,119a Kloof Nek Road,SAOTA,,On track,15/10/2025
127-dummer-street-general-lighting-extras-2,127 Dummer Street,Ellis & Associates,,On track,31/01/2025
16-trade-winds-exterior-lighting,16 Trade Winds,Property Matrix Management,,On track,01/07/2026
2138-house-bryson-ceiling-led,2138 House Bryson,GI Projects,,On track,01/04/2025
25-primrose-ave-12-linear-light,25 Primrose Ave,Ellis & Associates,,On track,17/12/2025
264-ovd-landscape-lighting,264 OVD,Ocean Electrical,,On track,13/11/2025
301-val-de-vie-landscape-lighting,301 Val De Vie,Louis Philips Architects,,On track,27/10/2025
33-kerzner-fualty-replacement,33 Kerzner,TTJ Developments,,On track,27/03/2025
33-kerzner-estate-design-fee,33 Kerzner Estate,TTH Developments,,On track,23/03/2023
35-kensington-cres-decorative-lighting,35 Kensington Crescent,Andrea Cilloniz,,On track,18/08/2025
4-peach-lane-extra-floods,4 Peach Lane,SAOTA,,On track,16/09/2025
402-bantry-rocks-led-lighting,402 Bantry Rocks,Atlantic Seaboard,,On track,29/04/2026
4352-atlantic-beach-estate-consultation-fee,4352 Atlantic Beach Estate,Boss Artichects,,On track,20/08/2025
45-victoria-apartment-product-est,45 Victoria,Kaikoura,,On track,17/11/2025
46-sedgemoor-rd-ceiling-step-led-lighting,46 Sedgemoor Rd,Ideare,,On track,02/06/2026
551-attic-stock,551,Peerutin Karol Architects,,On track,20/11/2025
58-sunset-design-fee,58 Sunset,MLB Architects,,On track,05/12/2022
59-strathmore-design-fee,59 Strathmore,Zs Architects,,On track,16/04/2024
6-ave-glen-lamps-pergola-lighting,6 Ave Glen,Newman Architecture,,On track,04/11/2024
6-glen-avenue-design-fee,6 Glen Avenue,Newman Architecture,,On track,24/02/2022
602-clifton-terraces-additional-art-spots,602 Clifton Terraces,Bright Idea Electrical,,On track,09/03/2026
67-ocean-view-drive-general-lighting,67 Ocean View Drive,Ellis & Associates,,On track,29/04/2025
abendanon-led-driversreplacement,Abendanon,Cape Island Construction,,On track,2026-07-08
alex-cotchobos-general-lighting,Alex Cotchobos,Alex Cotchobos,,On track,08/05/2026
andrea-cilloniz-extra-track-feeds,Andrea Cilloniz,Private,,On track,09/09/2025
apartment-viljoen-pool-led,Apartment Viljoen,Metle Construction,,On track,01/10/2025
arum-3-wire-track-lighting,Arum,Private Client,,On track,26/09/2025
atlantic-beach-architectural-lighting,Atlantic Beach,Boss Architects,,On track,04/11/2025
avondale-ridge-house-ceiling-led,Avondale Ridge House,Three14 Architects,,On track,12/05/2025
bakoven-ceiling-led,Bakoven,QDP Lighting & Electrical Design,,On track,25/02/2026
bantry-place-exterior-wall-lights,Bantry Place,John Jacob Interiors,,On track,18/02/2026
bantry-rocks-balcony,Bantry Rocks,Ellis & Associates,,On track,19/06/2026
bell-ceiling-led,Bell,Wynand Wilsenach Architects,,On track,11/02/2026
bennett-bb-spike-lights,Bennett,Clermont Vineyards (Pty) Ltd,,On track,25/03/2026
berlion-general-lighting,Berlion,Louis Philips Architects,,On track,18/03/2026
beyond-restaurant-automation-consultation,Beyond Restaurant,Beyond,,On track,10/10/2025
bezuidenhout-basement-design-fee,Bezuidenhout,SAOTA,,On track,09/06/2022
bone-studio-driver,Bone Studio,Bone Studio,,On track,07/07/2026
boschendal-arum-site-visit-fee,Boschendal Arum,Boschendal (Pty) Ltd,,On track,10/09/2025
brendan-vadas-home-exterior-wall-lights,Brendan Vadas - Home,Brendan Vadas,,On track,05/05/2026
britz,Britz,Phase Three Property Development (Pty) Ltd,Ryan McCarthy,On track,2026-07-20
broadoaks-rabbit-sculpture,Broadoaks,Ellis & Associates,,On track,03/06/2026
buchu-design,Buchu,Private Client,,On track,22/04/2026
camps-bay-2762-decorative-lighting,Camps Bay 2762,Three 14 Architects,,On track,30/04/2026
canal-walk-towers-signature-design-proposal-design-fee,Canal Walk,MDSA Project Management,,On track,03/06/2026
cape-kloof-villa-floor-light-repair,Cape Kloof Villa,Cape Kloof Villa,,On track,17/12/2025
carlyle-square-general-lighting,Carlyle Square,John Jacob Interiors,,On track,11/05/2026
chemrent-replacement-corner,Chemrent,Louis Philips Architects,,On track,25/07/2025
chris-van-niekerk-bollard-drivers,Chris Van Niekerk,Bright Idea Electrical,,On track,12/06/2026
clifton-bungalow-design-fee,Clifton Bungalow,Peter Cohren Architects,,On track,05/12/2024
clifton-terrace-led-extras-4,Clifton Terrace,Metle Construction,,On track,13/11/2025
clifton-terraces-601-neon-flex-replacement-outside-gym,Clifton Terraces 601,Private Client,,On track,02/06/2026
clifton-unit-6-design-fee,Clifton Unit 6,Metle Construction,,On track,06/12/2024
complimentary-sleeves-for-singita-footlights,Complimentary Sleeves for Singita Footlights,Ladybird Investments T/A Lodge Builders Botswana,,On track,09/03/2026
cooper-extra-drivers,Cooper,Wynand Wilsenach Architects,,On track,09/02/2026
cotchobos-31-thistle-decorative-lighting,Cotchobos 31 Thistle,Alex Cotchobos,,On track,11/05/2026
cox-ceiling-led,Cox,Wynand Wilsenach Architects,,On track,28/01/2026
decorex-marketing-account-internal,Decorex,Private Client,,On track,24/06/2026
delaire-graff-design-fee,Delaire Graff,Delaire Graff,,On track,03/10/2022
demo-project,Demo Project,Demo Client,Demo PM,On track,TBD
den-dulk-botmaskop-design-fee,Den Dulk - Botmaskop,SAOTA,,On track,11/12/2024
dents-electrical-steenberg-golf-estate-focs,Dents Electrical (Steenberg Golf Estate),Dents Electrical,,On track,09/10/2025
ewerd-brand-garden-spike-lightsoption-1,Ewerd Brand,Brandbild,,On track,01/07/2026
faf-du-plessis-replacement-driver,Faf Du Plessis,Faf du Plessis,,On track,13/03/2026
fillemon-general-lighting,Fillemon,Marula Game Ranch,,On track,02/02/2026
final-shihaam-nandos-fourways-ceiling-and-joinery-led-2210,Nando's Fourways,Chickenland,,On track,26/09/2025
fir-road-ceiling-joinery-led,Fir Road,Zs Architects,,On track,25/05/2026
first-fix-only-sissou-architectural-lightingstd-track,Sissou,Silver Dawn Investments,,On track,20/04/2026
foxcraft-decorative-pendant,Foxcraft,Foxcraft Restaurant,,On track,12/03/2026
fyn-boschendal-confirmed-fittings,Fyn,Arum,,On track,12/08/2025
gallery-made,Gallery,Private Client,,On track,26/06/2025
goldstein-general-lighting-phase-2,Goldstein,Dents Electrical,,On track,27/08/2025
gouws-design-fee,Gouws,Dormehl Construction,,On track,23/10/2023
grobler-exterior-wall-lights,Grobler,Grobler Architects,,On track,08/04/2026
gyni-spotlight,Gyni,Cape Plumbing & Electrical,,On track,29/01/2026
h29-mauritius-design-fee,H29 - Mauritius,H29,,On track,01/04/2026
h8-mauritius-design-fee,H8 - Mauritius,Richstone Properties.,,On track,08/06/2026
harbich-bic-led-library,Harbich,Dc Architects,,On track,09/03/2026
haydn-ellis-wall-lights,Haydn Ellis,Ellis & Associates,,On track,09/02/2026
head-office-upgrades-made,Head Office Upgrades (MADE),Private Client,,On track,25/06/2025
head-rd-deville-joinery-led,Head Rd,ARRCC,,On track,24/04/2026
head-rd-deville-joinery-ledextras-1,Head Road,Arrcc,,On track,11/05/2026
hely-helga-cabinet-lights,Hely Helga,John Jacob Interiors,,On track,15/01/2026
hickman-general-light-downlights,Hickman,HCGA Architecture,,On track,18/03/2025
higgo-road-driver-extras,Higgo Road,Private Client,,On track,11/12/2025
hotel-amalfi-mock-up-room-door-signage-led,Hotel Amalfi,Maison Reyjeane,,On track,04/12/2025
house-a-decorative-picture-light,House A,Bone Studio,,On track,05/06/2026
house-bastiaan-koster-new-bollards,House Bastiaan Koster,Bastiaan Koster,,On track,17/04/2026
house-botha-fibre-lighting-professional,House Botha,Maison Reyjeane,,On track,03/07/2026
house-cooper-replacements,House Cooper,Wynand Wilsenach,,On track,20/05/2026
house-de-klerk-design-proposal,House De Klerk,SAOTA,,On track,18/06/2026
house-fleming-architectural-lighting,House Fleming,MPA,,On track,05/12/2025
house-harbich-plugs-updated,House Harbich,Darryl Croome Architects,,On track,23/09/2025
house-koekemoer,House Koekemoer,Untitled-Design Hub,,On track,02/09/2024
house-kooi-home-automation-switching-option-2,House Kooi,Jaco Botha Architects,,On track,17/06/2026
house-kubili-ceiling-led-lighting,House Kubili,Fox Browne,,On track,25/04/2026
house-loy-decorative-lighting,House Loy,MR.,,On track,15/08/2025
house-madden-bedside-replacement,House Madden,Dc Architects,,On track,12/02/2026
house-meershoek-general-lighting-extra-footlights,House Meershoek,Simon,,On track,26/05/2026
house-of-kitchens-general-lighting-footlights,House Of Kitchens,House Of Kitchens,,On track,25/05/2026
house-patel-architectural-lighting,House Patel,DLJ Quantity Surveyors,,On track,18/09/2025
house-reed-general-lighting,House Reed,DC Architects,,On track,19/03/2026
house-rewachanda-design-fee,House Rewachanda,"Sune Grobler, Cape Atelier  ",,On track,25/05/2026
house-russou-ceiling-led-lighting,House Russou,Wynand Wilsenach Architects,,On track,06/07/2026
house-saad-consultation-fee,House Saad,Private Client,,On track,13/03/2025
house-scheufen-spare-glass,House Scheufen,Malan Voster Architects,,On track,12/12/2025
house-sikwila-first-fix-interior-lighting,House Sikwila,Steyn City,,On track,15/04/2025
house-sissou-decorative,House Sissou,Silver Dawn Investments,,On track,25/04/2026
house-van-niekerk-general-lightingextra-linear-light,House Van Niekerk,Chris Van Niekerk,,On track,18/07/2025
house-velaskar-design-fee,House Velaskar,"Sune Grobler, Cape Atelier  ",,On track,01/07/2026
house-whittaker-vanity-wall-lights,House Whittaker,Samantha Whittaker,,On track,11/11/2025
hove-road-downlighters,Hove Road,Zs Architects,,On track,18/03/2026
ina-paarmans-kitchen-general-lighting-above-kitchen-counter,Ina Paarmans Kitchen,Oliver Dods Architects,,On track,21/05/2026
irvine-decorative-lampsreplacement,Irvine,Penny & Nikki Irvine,,On track,18/02/2025
jlp-harrington-design-fee,JLP Harrington,Just Like Papa,,On track,14/06/2022
johan-basson-decorative-lighting,Johan Basson,Boss Architects,,On track,28/07/2025
kalahari-general-lighting-inground,Kalahari,NAD Property Income Fund (Pty) Ltd,,On track,19/05/2026
kim-stephen-interiors-general-lighting-no-sleeve,Kim Stephen interiors,Kim Stephen interiors,,On track,19/05/2026
koser-est-port-design-fee,Koser EST Port,Private Client,,On track,05/06/2026
kubili-house-design-fee,Kubili House,Private Client,,On track,27/08/2025
leeukoppie-31-design-fee,LeeuKoppie 31,LeeuKoppie 31,,On track,26/02/2024
loy-led,Loy,Open City Architects,,On track,21/02/2024
lualdi-showroom-design-fee,LUALDI Showroom,Valcucine,,On track,11/06/2024
luminary-lamp-accessories,Luminary,Luminary,,On track,04/05/2026
lunn-replacement-lamps,Lunn,Sean Lunn,,On track,25/03/2026
luxeline-sharl-wasserfall-1-to-1-product-gifts-candle-and-table-lamp-for-leds-c4,Luxeline - Sharl Wasserfall (1-TO-1 Product Gifts) (Candle and Table Lamp) For LEDS C4,Luxline,,On track,17/06/2025
madden-vanity-downlighters,Madden,Dc Architects,,On track,04/07/2025
made-dge-magnetic-accessory,MADE : DGE (Magnetic Accessory),Private Client,,On track,12/06/2026
