Quote ID (Do Not Change),Current Quote Name,New Quote Name (Change this!),Linked Project Name,Linked Project Key
PO-2026-6587,General Spec,Demo Project,Demo Project,demo-project
PO-2026-7924,General Spec,Britz,Britz,britz
PO-LEGACY-10-sugarbird-lane-exterior-replacements,General Spec,10 Sugarbird Lane (Exterior Replacements),10 Sugarbird Lane (Exterior Replacements),10-sugarbird-lane-exterior-replacements
PO-LEGACY-119a-kloof-nek-road-replacements,General Spec,119a Kloof Nek Road (Replacements),119a Kloof Nek Road (Replacements),119a-kloof-nek-road-replacements
PO-LEGACY-127-dummer-street-general-lightingextras-1,General Spec, 127 Dummer Street (General Lighting)(Extras 1), 127 Dummer Street (General Lighting)(Extras 1),127-dummer-street-general-lightingextras-1
PO-LEGACY-127-dummer-street-general-lighting-extras-2,General Spec,127 Dummer Street (General Lighting) (Extras 2),127 Dummer Street (General Lighting) (Extras 2),127-dummer-street-general-lighting-extras-2
PO-LEGACY-16-trade-winds-exterior-lighting,General Spec,16 Trade Winds (Exterior Lighting),16 Trade Winds (Exterior Lighting),16-trade-winds-exterior-lighting
PO-LEGACY-1-stern-close-spike-lights,General Spec,1 Stern Close (Spike Lights),1 Stern Close (Spike Lights),1-stern-close-spike-lights
PO-LEGACY-2138-house-bryson-ceiling-led,General Spec,2138 House Bryson (Ceiling Led),2138 House Bryson (Ceiling Led),2138-house-bryson-ceiling-led
PO-LEGACY-2138-house-bryson-general-lighting,General Spec,2138 House Bryson (General Lighting),2138 House Bryson (General Lighting),2138-house-bryson-general-lighting
PO-LEGACY-25-primrose-ave-12-linear-light,General Spec,25 Primrose Ave (1.2 Linear Light),25 Primrose Ave (1.2 Linear Light),25-primrose-ave-12-linear-light
PO-LEGACY-264-ovd-landscape-lighting,General Spec,264 OVD (Landscape Lighting),264 OVD (Landscape Lighting),264-ovd-landscape-lighting
PO-LEGACY-301-val-de-vie-landscape-lighting,General Spec,301 Val De Vie (Landscape Lighting),301 Val De Vie (Landscape Lighting),301-val-de-vie-landscape-lighting
PO-LEGACY-33-kerzner-estate-design-fee,General Spec,33 Kerzner Estate (Design Fee),33 Kerzner Estate (Design Fee),33-kerzner-estate-design-fee
PO-LEGACY-33-kerzner-fualty-replacement,General Spec,33 Kerzner (Fualty Replacement),33 Kerzner (Fualty Replacement),33-kerzner-fualty-replacement
PO-LEGACY-35-kensington-crescent-design-fee,General Spec,35 Kensington Crescent (Design Fee),35 Kensington Crescent (Design Fee),35-kensington-crescent-design-fee
PO-LEGACY-35-kensington-cres-decorative-lighting,General Spec,35 Kensington Cres (Decorative Lighting),35 Kensington Cres (Decorative Lighting),35-kensington-cres-decorative-lighting
PO-LEGACY-35-kensington-cres-landscape-lighting,General Spec,35 Kensington Cres (Landscape Lighting),35 Kensington Cres (Landscape Lighting),35-kensington-cres-landscape-lighting
PO-LEGACY-402-bantry-rocks-led-lighting,General Spec,402 Bantry Rocks (LED Lighting),402 Bantry Rocks (LED Lighting),402-bantry-rocks-led-lighting
PO-LEGACY-4352-atlantic-beach-estate-consultation-fee,General Spec,4352 Atlantic Beach Estate - Consultation Fee,4352 Atlantic Beach Estate - Consultation Fee,4352-atlantic-beach-estate-consultation-fee
PO-LEGACY-45-victoria-apartment-portfolio-x1-unit-design-fee,General Spec,45 Victoria - Apartment Portfolio  x1 Unit ( Design Fee),45 Victoria - Apartment Portfolio  x1 Unit ( Design Fee),45-victoria-apartment-portfolio-x1-unit-design-fee
PO-LEGACY-45-victoria-apartment-product-est,General Spec,45 Victoria - Apartment (Product ) EST,45 Victoria - Apartment (Product ) EST,45-victoria-apartment-product-est
PO-LEGACY-45-victoria-apartment-signature-design-fee,General Spec,45 Victoria - Apartment Signature( Design Fee),45 Victoria - Apartment Signature( Design Fee),45-victoria-apartment-signature-design-fee
PO-LEGACY-45-victoria-common-areas-signature-design-design-fee,General Spec,45 Victoria -Common areas Signature Design ( Design Fee),45 Victoria -Common areas Signature Design ( Design Fee),45-victoria-common-areas-signature-design-design-fee
PO-LEGACY-45-victoria-penthouse-design-fee,General Spec,45 Victoria - penthouse -Design Fee,45 Victoria - penthouse -Design Fee,45-victoria-penthouse-design-fee
PO-LEGACY-45-victoria-penthouse-product-est,General Spec,45 Victoria - Penthouse  (Product ) EST,45 Victoria - Penthouse  (Product ) EST,45-victoria-penthouse-product-est
PO-LEGACY-46-sedgemoor-rd-camps-bay,General Spec,"46 Sedgemoor Rd, Camps Bay","46 Sedgemoor Rd, Camps Bay",46-sedgemoor-rd-camps-bay
PO-LEGACY-46-sedgemoor-rd-ceiling-step-led-lighting,General Spec,46 Sedgemoor Rd (Ceiling & Step LED Lighting),46 Sedgemoor Rd (Ceiling & Step LED Lighting),46-sedgemoor-rd-ceiling-step-led-lighting
PO-LEGACY-46-sedgemoor-rd-general-lighting,General Spec,46 Sedgemoor Rd (General Lighting),46 Sedgemoor Rd (General Lighting),46-sedgemoor-rd-general-lighting
PO-LEGACY-46-sedgemoor-rd-landscape-lighting,General Spec,46 Sedgemoor Rd (Landscape Lighting),46 Sedgemoor Rd (Landscape Lighting),46-sedgemoor-rd-landscape-lighting
PO-LEGACY-4-peach-lane-extra-floods,General Spec,4 Peach Lane (Extra Floods),4 Peach Lane (Extra Floods),4-peach-lane-extra-floods
PO-LEGACY-551-attic-stock,General Spec,551 (Attic Stock),551 (Attic Stock),551-attic-stock
PO-LEGACY-58-sunset-design-fee,General Spec,58 Sunset (Design Fee),58 Sunset (Design Fee),58-sunset-design-fee
PO-LEGACY-58-sunset-extra-fittings-2-credit,General Spec,58 Sunset (Extra Fittings 2) (Credit),58 Sunset (Extra Fittings 2) (Credit),58-sunset-extra-fittings-2-credit
PO-LEGACY-58-sunset-joinery-led-and-assembly,General Spec,58 Sunset (Joinery LED and Assembly),58 Sunset (Joinery LED and Assembly),58-sunset-joinery-led-and-assembly
PO-LEGACY-58-sunset-linear-pendant,General Spec,58 Sunset (Linear Pendant),58 Sunset (Linear Pendant),58-sunset-linear-pendant
