Quote ID (Do Not Change),Quote Name,Linked Project Key,Current Project Name (Reference Only)
PO-2026-6587,Demo Project,demo-project,Demo Project
PO-2026-7924,Britz,britz,Britz
PO-LEGACY-10-sugarbird-lane-exterior-replacements,10 Sugarbird Lane (Exterior Replacements),10-sugarbird-lane-exterior-replacements,10 Sugarbird Lane (Exterior Replacements)
PO-LEGACY-119a-kloof-nek-road-replacements,119a Kloof Nek Road (Replacements),119a-kloof-nek-road-replacements,119a Kloof Nek Road (Replacements)
PO-LEGACY-127-dummer-street-general-lightingextras-1,127 Dummer Street (General Lighting)(Extras 1),127-dummer-street-general-lighting-extras-2,127 Dummer Street (General Lighting)(Extras 1)
PO-LEGACY-127-dummer-street-general-lighting-extras-2,127 Dummer Street (General Lighting) (Extras 2),127-dummer-street-general-lighting-extras-2,127 Dummer Street (General Lighting) (Extras 2)
PO-LEGACY-16-trade-winds-exterior-lighting,16 Trade Winds (Exterior Lighting),16-trade-winds-exterior-lighting,16 Trade Winds (Exterior Lighting)
PO-LEGACY-1-stern-close-spike-lights,1 Stern Close (Spike Lights),1-stern-close-spike-lights,1 Stern Close (Spike Lights)
PO-LEGACY-2138-house-bryson-ceiling-led,2138 House Bryson (Ceiling Led),2138-house-bryson-ceiling-led,2138 House Bryson (Ceiling Led)
PO-LEGACY-2138-house-bryson-general-lighting,2138 House Bryson (General Lighting),2138-house-bryson-ceiling-led,2138 House Bryson (General Lighting)
PO-LEGACY-25-primrose-ave-12-linear-light,25 Primrose Ave (1.2 Linear Light),25-primrose-ave-12-linear-light,25 Primrose Ave (1.2 Linear Light)
PO-LEGACY-264-ovd-landscape-lighting,264 OVD (Landscape Lighting),264-ovd-landscape-lighting,264 OVD (Landscape Lighting)
PO-LEGACY-301-val-de-vie-landscape-lighting,301 Val De Vie (Landscape Lighting),301-val-de-vie-landscape-lighting,301 Val De Vie (Landscape Lighting)
PO-LEGACY-33-kerzner-estate-design-fee,33 Kerzner Estate (Design Fee),33-kerzner-estate-design-fee,33 Kerzner Estate (Design Fee)
PO-LEGACY-33-kerzner-fualty-replacement,33 Kerzner (Fualty Replacement),33-kerzner-fualty-replacement,33 Kerzner (Fualty Replacement)
PO-LEGACY-35-kensington-crescent-design-fee,35 Kensington Crescent (Design Fee),35-kensington-cres-decorative-lighting,35 Kensington Crescent (Design Fee)
PO-LEGACY-35-kensington-cres-decorative-lighting,35 Kensington Cres (Decorative Lighting),35-kensington-cres-decorative-lighting,35 Kensington Cres (Decorative Lighting)
PO-LEGACY-35-kensington-cres-landscape-lighting,35 Kensington Cres (Landscape Lighting),35-kensington-cres-decorative-lighting,35 Kensington Cres (Landscape Lighting)
PO-LEGACY-402-bantry-rocks-led-lighting,402 Bantry Rocks (LED Lighting),402-bantry-rocks-led-lighting,402 Bantry Rocks (LED Lighting)
PO-LEGACY-4352-atlantic-beach-estate-consultation-fee,4352 Atlantic Beach Estate - Consultation Fee,4352-atlantic-beach-estate-consultation-fee,4352 Atlantic Beach Estate - Consultation Fee
PO-LEGACY-45-victoria-apartment-portfolio-x1-unit-design-fee,45 Victoria - Apartment Portfolio  x1 Unit ( Design Fee),45-victoria-apartment-product-est,45 Victoria - Apartment Portfolio  x1 Unit ( Design Fee)
PO-LEGACY-45-victoria-apartment-product-est,45 Victoria - Apartment (Product ) EST,45-victoria-apartment-product-est,45 Victoria - Apartment (Product ) EST
PO-LEGACY-45-victoria-apartment-signature-design-fee,45 Victoria - Apartment Signature( Design Fee),45-victoria-apartment-product-est,45 Victoria - Apartment Signature( Design Fee)
PO-LEGACY-45-victoria-common-areas-signature-design-design-fee,45 Victoria -Common areas Signature Design ( Design Fee),45-victoria-apartment-product-est,45 Victoria -Common areas Signature Design ( Design Fee)
PO-LEGACY-45-victoria-penthouse-design-fee,45 Victoria - penthouse -Design Fee,45-victoria-apartment-product-est,45 Victoria - penthouse -Design Fee
PO-LEGACY-45-victoria-penthouse-product-est,45 Victoria - Penthouse  (Product ) EST,45-victoria-apartment-product-est,45 Victoria - Penthouse  (Product ) EST
PO-LEGACY-46-sedgemoor-rd-camps-bay,"46 Sedgemoor Rd, Camps Bay",46-sedgemoor-rd-ceiling-step-led-lighting,"46 Sedgemoor Rd, Camps Bay"
PO-LEGACY-46-sedgemoor-rd-ceiling-step-led-lighting,46 Sedgemoor Rd (Ceiling & Step LED Lighting),46-sedgemoor-rd-ceiling-step-led-lighting,46 Sedgemoor Rd (Ceiling & Step LED Lighting)
PO-LEGACY-46-sedgemoor-rd-general-lighting,46 Sedgemoor Rd (General Lighting),46-sedgemoor-rd-ceiling-step-led-lighting,46 Sedgemoor Rd (General Lighting)
PO-LEGACY-46-sedgemoor-rd-landscape-lighting,46 Sedgemoor Rd (Landscape Lighting),46-sedgemoor-rd-ceiling-step-led-lighting,46 Sedgemoor Rd (Landscape Lighting)
PO-LEGACY-4-peach-lane-extra-floods,4 Peach Lane (Extra Floods),4-peach-lane-extra-floods,4 Peach Lane (Extra Floods)
PO-LEGACY-551-attic-stock,551 (Attic Stock),551-attic-stock,551 (Attic Stock)
PO-LEGACY-58-sunset-design-fee,58 Sunset (Design Fee),58-sunset-design-fee,58 Sunset (Design Fee)
PO-LEGACY-58-sunset-extra-fittings-2-credit,58 Sunset (Extra Fittings 2) (Credit),58-sunset-design-fee,58 Sunset (Extra Fittings 2) (Credit)
PO-LEGACY-58-sunset-joinery-led-and-assembly,58 Sunset (Joinery LED and Assembly),58-sunset-design-fee,58 Sunset (Joinery LED and Assembly)
PO-LEGACY-58-sunset-linear-pendant,58 Sunset (Linear Pendant),58-sunset-design-fee,58 Sunset (Linear Pendant)
PO-LEGACY-58-sunset-pj-lounge-joinery-led,58 Sunset (PJ Lounge Joinery LED),58-sunset-design-fee,58 Sunset (PJ Lounge Joinery LED)
PO-LEGACY-58-sunset-required-drivers,58 Sunset (Required Drivers),58-sunset-design-fee,58 Sunset (Required Drivers)
PO-LEGACY-59-strathmore-design-fee,59 Strathmore (Design Fee),59-strathmore-design-fee,59 Strathmore (Design Fee)
